timestamp,blue_starts,player1_type,player1_depth,player2_type,player2_depth,winner,blue_score,pink_score,winner_score,loser_score,player1_total_time,player1_moves,player1_avg_time_ms,player2_total_time,player2_moves,player2_avg_time_ms
2025-12-11T16:23:27.993586,False,AIPlayer,3,RandomAI,-,BLUE,52,12,52,12,1.891,31,61.0,0.001,29,0.0
2025-12-11T16:23:30.453972,True,RandomAI,-,AIPlayer,3,TIE,32,32,32,32,0.001,30,0.0,2.453,30,81.8
2025-12-11T16:23:32.657648,False,AIPlayer,3,RandomAI,-,BLUE,38,26,38,26,2.196,30,73.2,0.001,30,0.0
2025-12-11T16:23:34.614847,True,RandomAI,-,AIPlayer,3,PINK,29,35,35,29,0.001,31,0.0,1.95,29,67.2
2025-12-11T16:23:36.513874,False,AIPlayer,3,RandomAI,-,BLUE,59,5,59,5,1.891,32,59.1,0.001,28,0.0
2025-12-11T16:23:37.698420,True,RandomAI,-,AIPlayer,3,PINK,6,58,58,6,0.001,28,0.0,1.176,32,36.8
2025-12-11T16:23:39.362758,False,AIPlayer,3,RandomAI,-,BLUE,45,19,45,19,1.657,32,51.8,0.001,28,0.0
2025-12-11T16:23:41.858974,True,RandomAI,-,AIPlayer,3,TIE,32,32,32,32,0.001,30,0.0,2.489,30,83.0
2025-12-11T16:23:43.483985,False,AIPlayer,3,RandomAI,-,BLUE,54,10,54,10,1.617,31,52.2,0.001,29,0.0
2025-12-11T16:23:44.756857,True,RandomAI,-,AIPlayer,3,PINK,2,61,61,2,0.001,29,0.0,1.265,30,42.2
2025-12-11T16:23:46.737511,False,AIPlayer,3,RandomAI,-,BLUE,47,17,47,17,1.973,30,65.8,0.001,30,0.0
2025-12-11T16:23:48.786093,True,RandomAI,-,AIPlayer,3,PINK,18,46,46,18,0.001,30,0.0,2.041,30,68.0
2025-12-11T16:23:50.992263,False,AIPlayer,3,RandomAI,-,BLUE,45,19,45,19,2.199,30,73.3,0.001,30,0.0
2025-12-11T16:23:52.711824,True,RandomAI,-,AIPlayer,3,PINK,6,58,58,6,0.001,29,0.0,1.712,31,55.2
2025-12-11T16:23:54.075996,False,AIPlayer,3,RandomAI,-,BLUE,52,12,52,12,1.357,30,45.2,0.001,30,0.0
2025-12-11T16:23:55.977934,True,RandomAI,-,AIPlayer,3,PINK,17,47,47,17,0.001,30,0.0,1.894,30,63.1
2025-12-11T16:23:58.620426,False,AIPlayer,3,RandomAI,-,BLUE,44,20,44,20,2.635,31,85.0,0.001,29,0.0
2025-12-11T16:24:00.643045,True,RandomAI,-,AIPlayer,3,PINK,13,51,51,13,0.001,30,0.0,2.015,30,67.2
2025-12-11T16:24:02.106508,False,AIPlayer,3,RandomAI,-,BLUE,52,12,52,12,1.456,30,48.5,0.001,30,0.0
2025-12-11T16:24:03.284027,True,RandomAI,-,AIPlayer,3,PINK,7,57,57,7,0.001,29,0.0,1.17,31,37.7
2025-12-11T16:24:04.680087,False,AIPlayer,3,RandomAI,-,BLUE,57,7,57,7,1.389,33,42.1,0.001,27,0.0
2025-12-11T16:24:06.123761,True,RandomAI,-,AIPlayer,3,PINK,12,52,52,12,0.001,29,0.0,1.436,31,46.3
2025-12-11T16:24:07.584003,False,AIPlayer,3,RandomAI,-,BLUE,57,7,57,7,1.453,31,46.9,0.001,29,0.0
2025-12-11T16:24:09.455724,True,RandomAI,-,AIPlayer,3,PINK,19,45,45,19,0.001,30,0.0,1.864,30,62.1
2025-12-11T16:24:11.027167,False,AIPlayer,3,RandomAI,-,BLUE,43,21,43,21,1.564,30,52.1,0.001,30,0.0
2025-12-11T16:24:12.907065,True,RandomAI,-,AIPlayer,3,PINK,18,46,46,18,0.001,30,0.0,1.872,30,62.4
2025-12-11T16:24:15.323492,False,AIPlayer,3,RandomAI,-,BLUE,57,7,57,7,2.409,32,75.3,0.001,28,0.0
2025-12-11T16:24:17.931949,True,RandomAI,-,AIPlayer,3,PINK,10,54,54,10,0.001,27,0.0,2.6,33,78.8
2025-12-11T16:24:19.868767,False,AIPlayer,3,RandomAI,-,BLUE,46,18,46,18,1.929,31,62.2,0.001,29,0.0
2025-12-11T16:24:21.790698,True,RandomAI,-,AIPlayer,3,PINK,13,51,51,13,0.001,29,0.0,1.914,31,61.7
2025-12-11T16:24:24.033216,False,AIPlayer,3,RandomAI,-,BLUE,40,24,40,24,2.235,30,74.5,0.001,30,0.0
2025-12-11T16:24:26.835657,True,RandomAI,-,AIPlayer,3,PINK,16,48,48,16,0.001,30,0.0,2.795,30,93.2
2025-12-11T16:24:28.240482,False,AIPlayer,3,RandomAI,-,BLUE,42,22,42,22,1.397,30,46.6,0.001,30,0.0
2025-12-11T16:24:30.805131,True,RandomAI,-,AIPlayer,3,PINK,7,57,57,7,0.001,28,0.0,2.557,32,79.9
2025-12-11T16:24:33.315722,False,AIPlayer,3,RandomAI,-,BLUE,50,14,50,14,2.503,31,80.7,0.001,29,0.0
2025-12-11T16:24:35.758367,True,RandomAI,-,AIPlayer,3,PINK,24,40,40,24,0.001,29,0.0,2.435,31,78.5
2025-12-11T16:24:37.351888,False,AIPlayer,3,RandomAI,-,BLUE,60,4,60,4,1.586,33,48.1,0.001,27,0.0
