timestamp,blue_starts,player1_type,player1_depth,player2_type,player2_depth,winner,blue_score,pink_score,winner_score,loser_score,player1_total_time,player1_moves,player1_avg_time_ms,player2_total_time,player2_moves,player2_avg_time_ms
2025-12-11T16:26:20.296291,True,RandomAI,-,AIPlayer,4,PINK,17,47,47,17,0.001,30,0.0,11.041,30,368.0
2025-12-11T16:26:35.297761,False,AIPlayer,4,RandomAI,-,BLUE,52,12,52,12,14.991,31,483.6,0.001,29,0.0
2025-12-11T16:26:51.501306,True,RandomAI,-,AIPlayer,4,PINK,16,48,48,16,0.001,30,0.0,16.193,30,539.8
2025-12-11T16:26:57.016827,False,AIPlayer,4,RandomAI,-,BLUE,62,0,62,0,5.504,33,166.8,0.001,25,0.0
2025-12-11T16:27:03.906759,True,RandomAI,-,AIPlayer,4,PINK,10,54,54,10,0.001,29,0.0,6.881,31,222.0
2025-12-11T16:27:15.648489,False,AIPlayer,4,RandomAI,-,BLUE,36,28,36,28,11.733,30,391.1,0.001,30,0.0
2025-12-11T16:27:23.483843,True,RandomAI,-,AIPlayer,4,PINK,6,58,58,6,0.001,29,0.0,7.825,31,252.4
2025-12-11T16:27:33.754108,False,AIPlayer,4,RandomAI,-,BLUE,57,7,57,7,10.261,32,320.6,0.001,28,0.0
2025-12-11T16:27:41.735929,True,RandomAI,-,AIPlayer,4,PINK,26,38,38,26,0.001,31,0.0,7.971,29,274.9
2025-12-11T16:27:56.211997,False,AIPlayer,4,RandomAI,-,BLUE,45,19,45,19,14.467,30,482.2,0.001,30,0.0
2025-12-11T16:28:08.423819,True,RandomAI,-,AIPlayer,4,PINK,23,41,41,23,0.001,30,0.0,12.201,30,406.7
2025-12-11T16:28:17.364684,False,AIPlayer,4,RandomAI,-,BLUE,59,5,59,5,8.931,34,262.7,0.001,26,0.0
2025-12-11T16:28:28.768059,True,RandomAI,-,AIPlayer,4,PINK,11,53,53,11,0.001,29,0.0,11.394,31,367.5
2025-12-11T16:28:40.062684,False,AIPlayer,4,RandomAI,-,BLUE,51,13,51,13,11.284,31,364.0,0.001,29,0.0
2025-12-11T16:28:48.041747,True,RandomAI,-,AIPlayer,4,PINK,5,58,58,5,0.001,26,0.0,7.968,33,241.4
2025-12-11T16:28:55.582328,False,AIPlayer,4,RandomAI,-,BLUE,51,13,51,13,7.531,31,242.9,0.001,29,0.0
2025-12-11T16:29:11.628067,True,RandomAI,-,AIPlayer,4,PINK,18,46,46,18,0.001,30,0.0,16.036,30,534.5
2025-12-11T16:29:21.927888,False,AIPlayer,4,RandomAI,-,BLUE,40,24,40,24,10.289,30,343.0,0.001,30,0.0
2025-12-11T16:29:32.237868,True,RandomAI,-,AIPlayer,4,PINK,11,53,53,11,0.001,29,0.0,10.299,31,332.2
2025-12-11T16:29:42.361256,False,AIPlayer,4,RandomAI,-,BLUE,51,13,51,13,10.113,31,326.2,0.001,29,0.0
2025-12-11T16:29:50.210769,True,RandomAI,-,AIPlayer,4,PINK,5,59,59,5,0.001,29,0.0,7.839,31,252.9
2025-12-11T16:29:58.252684,False,AIPlayer,4,RandomAI,-,BLUE,46,18,46,18,8.032,30,267.7,0.001,30,0.0
2025-12-11T16:30:11.923040,True,RandomAI,-,AIPlayer,4,PINK,19,45,45,19,0.001,31,0.0,13.661,29,471.1
2025-12-11T16:30:24.468053,False,AIPlayer,4,RandomAI,-,PINK,28,36,36,28,12.534,30,417.8,0.001,30,0.0
2025-12-11T16:30:33.945670,True,RandomAI,-,AIPlayer,4,PINK,13,51,51,13,0.001,29,0.0,9.468,31,305.4
2025-12-11T16:30:50.527033,False,AIPlayer,4,RandomAI,-,BLUE,51,13,51,13,16.572,30,552.4,0.001,30,0.0
2025-12-11T16:30:56.028748,True,RandomAI,-,AIPlayer,4,PINK,4,58,58,4,0.001,26,0.0,5.49,32,171.6
2025-12-11T16:31:11.234785,False,AIPlayer,4,RandomAI,-,BLUE,45,19,45,19,15.197,30,506.6,0.001,30,0.0
2025-12-11T16:31:21.584449,True,RandomAI,-,AIPlayer,4,PINK,11,53,53,11,0.001,29,0.0,10.318,31,332.8
2025-12-11T16:31:28.697473,False,AIPlayer,4,RandomAI,-,BLUE,53,11,53,11,7.103,32,222.0,0.001,28,0.0
2025-12-11T16:31:36.312907,True,RandomAI,-,AIPlayer,4,PINK,23,41,41,23,0.001,29,0.0,7.606,31,245.4
2025-12-11T16:31:47.779795,False,AIPlayer,4,RandomAI,-,BLUE,61,2,61,2,11.458,32,358.1,0.001,27,0.0
2025-12-11T16:32:04.011426,True,RandomAI,-,AIPlayer,4,PINK,15,49,49,15,0.001,30,0.0,16.221,30,540.7
2025-12-11T16:32:19.777045,False,AIPlayer,4,RandomAI,-,BLUE,50,14,50,14,15.755,31,508.2,0.001,29,0.0
2025-12-11T16:32:28.295107,True,RandomAI,-,AIPlayer,4,PINK,4,60,60,4,0.001,28,0.0,8.507,32,265.8
2025-12-11T16:32:38.555115,False,AIPlayer,4,RandomAI,-,BLUE,47,17,47,17,10.251,30,341.7,0.001,30,0.0
2025-12-11T16:32:47.695790,True,RandomAI,-,AIPlayer,4,PINK,9,55,55,9,0.001,28,0.0,9.13,32,285.3
