timestamp,blue_starts,player1_type,player1_depth,player2_type,player2_depth,winner,blue_score,pink_score,winner_score,loser_score,player1_total_time,player1_moves,player1_avg_time_ms,player2_total_time,player2_moves,player2_avg_time_ms
2025-12-11T16:20:55.679757,True,RandomAI,-,AIPlayer,2,PINK,27,37,37,27,0.001,30,0.0,0.31,30,10.3
2025-12-11T16:20:55.908893,False,AIPlayer,2,RandomAI,-,BLUE,55,9,55,9,0.222,31,7.2,0.001,29,0.0
2025-12-11T16:20:56.269183,True,RandomAI,-,AIPlayer,2,PINK,5,58,58,5,0.001,29,0.0,0.353,30,11.8
2025-12-11T16:20:56.607539,False,AIPlayer,2,RandomAI,-,BLUE,41,23,41,23,0.331,30,11.0,0.001,30,0.0
2025-12-11T16:20:56.950895,True,RandomAI,-,AIPlayer,2,PINK,23,41,41,23,0.001,30,0.0,0.336,30,11.2
2025-12-11T16:20:57.241749,False,AIPlayer,2,RandomAI,-,BLUE,52,12,52,12,0.284,31,9.2,0.001,29,0.0
2025-12-11T16:20:57.539428,True,RandomAI,-,AIPlayer,2,PINK,27,37,37,27,0.001,31,0.0,0.291,29,10.0
2025-12-11T16:20:57.842278,False,AIPlayer,2,RandomAI,-,BLUE,58,5,58,5,0.296,32,9.2,0.001,27,0.0
2025-12-11T16:20:58.120409,True,RandomAI,-,AIPlayer,2,PINK,13,51,51,13,0.001,30,0.0,0.271,30,9.0
2025-12-11T16:20:58.420142,False,AIPlayer,2,RandomAI,-,BLUE,53,11,53,11,0.293,31,9.4,0.001,29,0.0
2025-12-11T16:20:58.703493,True,RandomAI,-,AIPlayer,2,PINK,16,48,48,16,0.001,30,0.0,0.276,30,9.2
2025-12-11T16:20:59.057183,False,AIPlayer,2,RandomAI,-,BLUE,38,26,38,26,0.347,31,11.2,0.001,29,0.0
2025-12-11T16:20:59.335818,True,RandomAI,-,AIPlayer,2,BLUE,34,30,34,30,0.001,31,0.0,0.271,29,9.4
2025-12-11T16:20:59.723164,False,AIPlayer,2,RandomAI,-,BLUE,46,18,46,18,0.38,31,12.3,0.001,29,0.0
2025-12-11T16:21:00.062514,True,RandomAI,-,AIPlayer,2,PINK,25,39,39,25,0.001,30,0.0,0.332,30,11.1
2025-12-11T16:21:00.464667,False,AIPlayer,2,RandomAI,-,BLUE,51,13,51,13,0.395,31,12.7,0.001,29,0.0
2025-12-11T16:21:00.792091,True,RandomAI,-,AIPlayer,2,PINK,21,43,43,21,0.001,30,0.0,0.32,30,10.7
2025-12-11T16:21:01.011311,False,AIPlayer,2,RandomAI,-,BLUE,36,28,36,28,0.212,30,7.1,0.001,30,0.0
2025-12-11T16:21:01.383539,True,RandomAI,-,AIPlayer,2,PINK,30,34,34,30,0.001,30,0.0,0.365,30,12.2
2025-12-11T16:21:01.738338,False,AIPlayer,2,RandomAI,-,BLUE,54,10,54,10,0.348,31,11.2,0.001,29,0.0
2025-12-11T16:21:02.078595,True,RandomAI,-,AIPlayer,2,PINK,28,36,36,28,0.001,30,0.0,0.333,30,11.1
2025-12-11T16:21:02.350962,False,AIPlayer,2,RandomAI,-,BLUE,51,13,51,13,0.265,31,8.6,0.001,29,0.0
2025-12-11T16:21:02.594258,True,RandomAI,-,AIPlayer,2,PINK,6,58,58,6,0.001,29,0.0,0.236,31,7.6
2025-12-11T16:21:02.837271,False,AIPlayer,2,RandomAI,-,BLUE,40,24,40,24,0.236,30,7.9,0.001,30,0.0
2025-12-11T16:21:03.226390,True,RandomAI,-,AIPlayer,2,PINK,11,53,53,11,0.001,29,0.0,0.382,31,12.3
2025-12-11T16:21:03.513542,False,AIPlayer,2,RandomAI,-,BLUE,44,20,44,20,0.28,31,9.0,0.001,29,0.0
2025-12-11T16:21:03.782431,True,RandomAI,-,AIPlayer,2,PINK,24,40,40,24,0.001,30,0.0,0.262,30,8.7
2025-12-11T16:21:04.053898,False,AIPlayer,2,RandomAI,-,BLUE,54,10,54,10,0.265,32,8.3,0.001,28,0.0
2025-12-11T16:21:04.310537,True,RandomAI,-,AIPlayer,2,PINK,11,53,53,11,0.002,30,0.1,0.237,30,7.9
2025-12-11T16:21:04.635312,False,AIPlayer,2,RandomAI,-,BLUE,45,19,45,19,0.318,30,10.6,0.001,30,0.0
2025-12-11T16:21:04.993151,True,RandomAI,-,AIPlayer,2,PINK,12,52,52,12,0.001,29,0.0,0.351,31,11.3
2025-12-11T16:21:05.334642,False,AIPlayer,2,RandomAI,-,BLUE,49,15,49,15,0.334,30,11.1,0.001,30,0.0
2025-12-11T16:21:05.569244,True,RandomAI,-,AIPlayer,2,PINK,25,39,39,25,0.001,30,0.0,0.227,30,7.6
2025-12-11T16:21:05.848291,False,AIPlayer,2,RandomAI,-,BLUE,59,5,59,5,0.272,31,8.8,0.001,29,0.0
2025-12-11T16:21:06.196425,True,RandomAI,-,AIPlayer,2,PINK,18,46,46,18,0.001,30,0.0,0.341,30,11.4
2025-12-11T16:21:06.474133,False,AIPlayer,2,RandomAI,-,BLUE,45,19,45,19,0.27,31,8.7,0.001,29,0.0
2025-12-11T16:21:06.756041,True,RandomAI,-,AIPlayer,2,PINK,20,44,44,20,0.001,30,0.0,0.274,30,9.1
2025-12-11T16:21:07.106365,False,AIPlayer,2,RandomAI,-,BLUE,46,18,46,18,0.343,31,11.1,0.001,29,0.0
2025-12-11T16:21:07.412600,True,RandomAI,-,AIPlayer,2,PINK,22,42,42,22,0.001,30,0.0,0.299,30,10.0
2025-12-11T16:21:07.748091,False,AIPlayer,2,RandomAI,-,BLUE,43,21,43,21,0.329,31,10.6,0.001,29,0.0
2025-12-11T16:21:08.020640,True,RandomAI,-,AIPlayer,2,PINK,28,36,36,28,0.001,31,0.0,0.265,29,9.2
