timestamp,blue_starts,player1_type,player1_depth,player2_type,player2_depth,winner,blue_score,pink_score,winner_score,loser_score,player1_total_time,player1_moves,player1_avg_time_ms,player2_total_time,player2_moves,player2_avg_time_ms
2025-12-11T16:52:03.323657,True,AIPlayer,2,AIPlayer,3,BLUE,46,18,46,18,0.013,30,0.4,1.562,30,52.1
2025-12-11T16:52:04.494661,False,AIPlayer,3,AIPlayer,2,BLUE,43,21,43,21,1.161,30,38.7,0.003,30,0.1
2025-12-11T16:52:06.150386,True,AIPlayer,2,AIPlayer,3,PINK,16,48,48,16,0.006,29,0.2,1.644,31,53.0
2025-12-11T16:52:08.693055,False,AIPlayer,3,AIPlayer,2,BLUE,36,28,36,28,2.533,30,84.4,0.003,30,0.1
2025-12-11T16:52:10.422112,True,AIPlayer,2,AIPlayer,3,PINK,31,33,33,31,0.006,30,0.2,1.717,30,57.2
2025-12-11T16:52:12.022421,False,AIPlayer,3,AIPlayer,2,BLUE,42,22,42,22,1.591,30,53.0,0.003,30,0.1
2025-12-11T16:52:13.246440,True,AIPlayer,2,AIPlayer,3,BLUE,51,13,51,13,0.006,30,0.2,1.212,30,40.4
2025-12-11T16:52:14.742969,False,AIPlayer,3,AIPlayer,2,PINK,26,38,38,26,1.487,30,49.6,0.003,30,0.1
2025-12-11T16:52:16.314514,True,AIPlayer,2,AIPlayer,3,PINK,28,36,36,28,0.006,29,0.2,1.559,31,50.3
2025-12-11T16:52:17.488352,False,AIPlayer,3,AIPlayer,2,BLUE,39,24,39,24,1.164,30,38.8,0.003,29,0.1
2025-12-11T16:52:19.032889,True,AIPlayer,2,AIPlayer,3,PINK,30,34,34,30,0.006,30,0.2,1.532,30,51.1
2025-12-11T16:52:21.705072,False,AIPlayer,3,AIPlayer,2,PINK,18,46,46,18,2.663,30,88.8,0.003,30,0.1
2025-12-11T16:52:23.765996,True,AIPlayer,2,AIPlayer,3,PINK,6,58,58,6,0.006,29,0.2,2.049,31,66.1
2025-12-11T16:52:24.846854,False,AIPlayer,3,AIPlayer,2,BLUE,39,24,39,24,1.071,30,35.7,0.003,29,0.1
2025-12-11T16:52:26.395213,True,AIPlayer,2,AIPlayer,3,PINK,30,34,34,30,0.006,30,0.2,1.536,30,51.2
2025-12-11T16:52:28.598667,False,AIPlayer,3,AIPlayer,2,BLUE,45,19,45,19,2.194,31,70.8,0.003,29,0.1
2025-12-11T16:52:29.833209,True,AIPlayer,2,AIPlayer,3,TIE,32,32,32,32,0.006,30,0.2,1.222,30,40.7
2025-12-11T16:52:31.433605,False,AIPlayer,3,AIPlayer,2,BLUE,50,14,50,14,1.591,31,51.3,0.003,29,0.1
2025-12-11T16:52:33.108179,True,AIPlayer,2,AIPlayer,3,TIE,32,32,32,32,0.006,30,0.2,1.662,30,55.4
2025-12-11T16:52:34.577188,False,AIPlayer,3,AIPlayer,2,PINK,17,47,47,17,1.46,29,50.3,0.003,31,0.1
2025-12-11T16:52:36.236873,True,AIPlayer,2,AIPlayer,3,BLUE,46,18,46,18,0.006,30,0.2,1.648,30,54.9
2025-12-11T16:52:37.507671,False,AIPlayer,3,AIPlayer,2,BLUE,62,2,62,2,1.262,31,40.7,0.003,29,0.1
2025-12-11T16:52:38.772775,True,AIPlayer,2,AIPlayer,3,TIE,32,32,32,32,0.006,30,0.2,1.253,30,41.8
2025-12-11T16:52:39.935239,False,AIPlayer,3,AIPlayer,2,PINK,18,46,46,18,1.153,30,38.4,0.003,30,0.1
2025-12-11T16:52:41.167071,True,AIPlayer,2,AIPlayer,3,TIE,32,32,32,32,0.006,30,0.2,1.219,30,40.6
2025-12-11T16:52:43.009743,False,AIPlayer,3,AIPlayer,2,PINK,26,38,38,26,1.834,30,61.1,0.003,30,0.1
2025-12-11T16:52:44.596332,True,AIPlayer,2,AIPlayer,3,TIE,32,32,32,32,0.006,30,0.2,1.574,30,52.5
2025-12-11T16:52:46.115506,False,AIPlayer,3,AIPlayer,2,BLUE,42,22,42,22,1.51,30,50.3,0.003,30,0.1
2025-12-11T16:52:47.699362,True,AIPlayer,2,AIPlayer,3,BLUE,42,22,42,22,0.006,31,0.2,1.571,29,54.2
2025-12-11T16:52:48.975040,False,AIPlayer,3,AIPlayer,2,PINK,21,43,43,21,1.265,29,43.6,0.004,31,0.1
2025-12-11T16:52:51.003540,True,AIPlayer,2,AIPlayer,3,PINK,6,58,58,6,0.006,29,0.2,2.016,31,65.0
2025-12-11T16:52:52.723794,False,AIPlayer,3,AIPlayer,2,BLUE,46,18,46,18,1.711,31,55.2,0.003,29,0.1
2025-12-11T16:52:54.119962,True,AIPlayer,2,AIPlayer,3,BLUE,51,13,51,13,0.006,30,0.2,1.384,30,46.1
2025-12-11T16:52:55.589440,False,AIPlayer,3,AIPlayer,2,PINK,17,47,47,17,1.46,29,50.3,0.003,31,0.1
2025-12-11T16:52:57.010192,True,AIPlayer,2,AIPlayer,3,PINK,28,36,36,28,0.006,30,0.2,1.409,30,47.0
2025-12-11T16:52:58.092307,False,AIPlayer,3,AIPlayer,2,BLUE,39,24,39,24,1.073,30,35.8,0.003,29,0.1
2025-12-11T16:52:59.366152,True,AIPlayer,2,AIPlayer,3,BLUE,51,13,51,13,0.006,30,0.2,1.261,30,42.0
2025-12-11T16:53:01.244417,False,AIPlayer,3,AIPlayer,2,PINK,17,47,47,17,1.869,29,64.4,0.003,31,0.1
2025-12-11T16:53:02.742249,True,AIPlayer,2,AIPlayer,3,BLUE,50,14,50,14,0.008,30,0.3,1.483,30,49.4
2025-12-11T16:53:04.170035,False,AIPlayer,3,AIPlayer,2,PINK,17,47,47,17,1.418,29,48.9,0.003,31,0.1
2025-12-11T16:53:05.970678,True,AIPlayer,2,AIPlayer,3,PINK,12,52,52,12,0.006,30,0.2,1.789,30,59.6
2025-12-11T16:53:08.493501,False,AIPlayer,3,AIPlayer,2,BLUE,36,28,36,28,2.514,30,83.8,0.003,30,0.1
2025-12-11T16:53:10.003524,True,AIPlayer,2,AIPlayer,3,BLUE,46,18,46,18,0.006,30,0.2,1.497,30,49.9
2025-12-11T16:53:11.533285,False,AIPlayer,3,AIPlayer,2,PINK,26,38,38,26,1.52,30,50.7,0.003,30,0.1
2025-12-11T16:53:13.267643,True,AIPlayer,2,AIPlayer,3,PINK,19,45,45,19,0.006,30,0.2,1.722,30,57.4
2025-12-11T16:53:14.770243,False,AIPlayer,3,AIPlayer,2,BLUE,35,29,35,29,1.493,30,49.8,0.003,30,0.1
2025-12-11T16:53:16.861083,True,AIPlayer,2,AIPlayer,3,PINK,6,58,58,6,0.006,29,0.2,2.076,31,67.0
2025-12-11T16:53:18.162621,False,AIPlayer,3,AIPlayer,2,PINK,25,39,39,25,1.292,30,43.1,0.003,30,0.1
2025-12-11T16:53:19.706598,True,AIPlayer,2,AIPlayer,3,PINK,30,34,34,30,0.006,30,0.2,1.532,30,51.1
2025-12-11T16:53:21.181799,False,AIPlayer,3,AIPlayer,2,BLUE,42,22,42,22,1.466,30,48.9,0.003,30,0.1
